owner_experience,vet_access,owner_commitment,care_capability_score
Intermediate,Moderate,High,45.36200618425104
Intermediate,Limited,Moderate,25.344459353966684
Intermediate,Moderate,High,56.89783788020042
Beginner,Moderate,Moderate,16.946530333124482
Expert,Excellent,Very High,93.81181227350352
Expert,Good,High,67.8993277444651
Beginner,Moderate,Low,22.43129395675953
Intermediate,Limited,Low,15.861324885467127
Advanced,Good,High,85.14221912081571
Expert,Excellent,High,98.75351574275042
Intermediate,Moderate,Moderate,57.29383059673515
Intermediate,Good,High,55.763240629918165
Advanced,Good,Very High,87.31648907842343
Intermediate,Good,High,63.568503679156464
Beginner,Limited,Moderate,21.193456785273312
Intermediate,Moderate,Moderate,9.14739886620913
Beginner,Limited,Moderate,9.027602482048053
Expert,Good,Very High,95.96509402969858
Intermediate,Limited,Low,16.245598538231867
Beginner,Limited,Moderate,13.902235808812348
Beginner,Limited,Low,10.77685453618532
Intermediate,Moderate,Moderate,49.11548224144943
Beginner,Limited,Moderate,3.8387809562898756
Intermediate,Limited,Moderate,7.356726620184777
Advanced,Excellent,Very High,78.10897772566142
Advanced,Good,Very High,90.37202122932513
Beginner,Limited,Low,19.56664744299466
Intermediate,Moderate,Low,9.822399781422016
Intermediate,Moderate,Moderate,4.347787536728916
Intermediate,Good,Moderate,44.09659144873808
Beginner,Moderate,Moderate,8.347474320505825
Advanced,Moderate,Moderate,43.27304427312888
Advanced,Good,High,64.4228820421256
Beginner,Moderate,Moderate,29.000549096158505
Intermediate,Good,Moderate,35.076973277982944
Intermediate,Moderate,Low,23.43860750016143
Beginner,Limited,Low,0.911714979278208
Advanced,Good,Moderate,43.9139644922319
Beginner,Moderate,Moderate,16.36437496557097
Beginner,Moderate,Moderate,3.306095519097284
Advanced,Excellent,Very High,69.98571424958304
Expert,Excellent,High,79.38574736863951
Expert,Excellent,High,66.87198254973548
Beginner,Limited,Moderate,14.45929088456121
Intermediate,Limited,Moderate,26.753921763125057
Intermediate,Limited,Low,5.901865290268805
Expert,Good,Very High,70.19853416653372
Expert,Good,High,97.49273570811252
Intermediate,Moderate,Low,27.662348216196758
Advanced,Good,Very High,74.77490875294072
Intermediate,Moderate,Moderate,26.369327824452437
Intermediate,Moderate,Low,21.624227567611076
Advanced,Good,High,66.48872059077846
Advanced,Moderate,High,63.01470439553046
Intermediate,Moderate,Low,6.494791544350161
Intermediate,Moderate,Moderate,36.8442677895372
Beginner,Limited,Low,8.373588484648426
Intermediate,Moderate,Moderate,17.537893213099412
Beginner,Moderate,Moderate,13.471737725387232
Beginner,Limited,Moderate,3.927758292713559
Beginner,Moderate,Low,24.707684012476534
Intermediate,Good,Moderate,51.26422664332021
Advanced,Good,Moderate,48.95173216621882
Expert,Good,High,81.21192693268252
Beginner,Limited,Moderate,14.152311724140166
Advanced,Moderate,High,57.047586930702835
Beginner,Moderate,Moderate,32.13863917905505
Expert,Excellent,High,69.37577464719135
Beginner,Limited,Low,24.02703405906535
Intermediate,Moderate,High,49.02838850344017
Expert,Excellent,High,96.31319470502392
Intermediate,Moderate,High,52.08593394146611
Advanced,Good,High,89.41453236043104
Advanced,Good,Moderate,52.12863650460932
Intermediate,Moderate,Moderate,37.83837690269776
Advanced,Moderate,High,64.34925346332673
Beginner,Moderate,Low,16.913519314888536
Beginner,Limited,Low,15.263397656715593
Expert,Good,High,97.65998537384051
Intermediate,Moderate,Low,8.081307261341271
Beginner,Limited,Moderate,9.384707415932908
Intermediate,Moderate,Moderate,8.197457342624501
Beginner,Moderate,Low,30.381423999106357
Intermediate,Limited,Moderate,3.2417292839077727
Intermediate,Good,Moderate,55.87151399271508
Expert,Excellent,High,97.70972500233343
Intermediate,Moderate,Moderate,61.29308002183088
Advanced,Excellent,High,81.50399082353448
Advanced,Excellent,High,80.61269893880763
Intermediate,Good,High,51.8733070405685
Beginner,Moderate,Moderate,23.03801227053855
Advanced,Moderate,High,52.8968843902168
Beginner,Moderate,Low,1.42473337172314
Expert,Excellent,High,74.10042378478143
Intermediate,Moderate,Moderate,18.99552735714768
Expert,Good,Very High,91.62498072566713
Advanced,Good,Moderate,63.634488182756314
Expert,Good,High,72.09739704594777
Advanced,Good,Moderate,43.11937202897374
Intermediate,Good,Moderate,60.976234664230454
Beginner,Moderate,Low,29.924312950949272
Beginner,Limited,Moderate,23.86021060180389
Intermediate,Moderate,Low,12.267778538542306
Intermediate,Moderate,Low,13.586215829140196
Intermediate,Limited,Low,14.829757442635286
Beginner,Limited,Low,11.950627831534915
Beginner,Limited,Low,30.728621897758508
Beginner,Moderate,Moderate,0.9640625445536479
Beginner,Moderate,Moderate,24.43894348701435
Expert,Excellent,High,67.73686220094206
Beginner,Moderate,Low,12.404805206768637
Beginner,Moderate,Moderate,26.703940362282523
Intermediate,Limited,Low,6.462908898510917
Intermediate,Moderate,Low,7.691715115939623
Intermediate,Good,Moderate,58.51636075025215
Intermediate,Good,High,43.70825748600984
Beginner,Moderate,Low,21.350822130353418
Intermediate,Moderate,High,57.39363961650402
Expert,Good,Very High,82.12392760706177
Expert,Excellent,Very High,98.34776769267847
Advanced,Excellent,High,95.76121966577324
Advanced,Moderate,Moderate,59.44851878395835
Expert,Excellent,Very High,83.71869725094751
Intermediate,Moderate,High,61.001471181075445
Expert,Excellent,High,70.20273459829161
Intermediate,Limited,Moderate,31.66262269674756
Intermediate,Moderate,Moderate,3.089156719084098
Expert,Excellent,High,71.62476170823444
Intermediate,Moderate,Moderate,3.211133504410839
Intermediate,Limited,Low,16.208673430388497
Expert,Good,Very High,79.73678875701894
Advanced,Good,High,74.07609401791385
Intermediate,Good,Moderate,41.32526055520299
Advanced,Excellent,High,83.60868770998496
