pet_species,breed,age_years,weight_status,living_situation,exercise_level,conditions_count,allergies_count,health_risk_score
Rabbit,Californian,5.3395270341984125,Normal,Outdoor,Active,1,1,0.5803523406484167
Rabbit,Mixed Breed,1.2938129422836941,Normal,Apartment,Moderate,1,1,0.2532577442230636
Cat,British Shorthair,5.329933309081479,Normal,Outdoor,Moderate,0,0,0.20381818918479658
Rabbit,Flemish Giant,3.4448084005138275,Normal,Apartment,Active,1,1,0.24488025961435808
Guinea Pig,Texel,4.185160680684305,Normal,Apartment,Active,0,0,0.26071216134131975
Rabbit,Holland Lop,13.284400215557344,Obese,Outdoor,Moderate,5,4,0.6247652687236603
Guinea Pig,Texel,2.4166109947967036,Normal,Outdoor,Moderate,0,1,0.21055358027453916
Rabbit,Mini Lop,4.482811534660861,Normal,Outdoor,Active,1,1,0.2805355144543018
Hamster,Dwarf Campbell,9.66405158875699,Overweight,Farm,Active,2,0,0.3099484521407495
Hamster,Roborovski,16.288795050036224,Overweight,Farm,Sedentary,1,4,0.7468735617323511
Cat,Devon Rex,11.787130226737819,Overweight,Farm,Light,0,0,0.49092937326026487
Bird,Cockatiel,6.1059720797046495,Normal,Apartment,Moderate,0,1,0.21612873773795857
Hamster,Syrian,13.41791763669687,Obese,Farm,Light,4,1,0.9818133894839547
Rabbit,Angora,6.957243775944638,Normal,Apartment,Active,1,1,0.13310414317277738
Cat,Mixed Breed,6.942747746409081,Normal,House,Active,1,1,0.06029447556468691
Rabbit,Tan,14.3383672486392,Obese,Apartment,Sedentary,4,2,0.6784713640832039
Guinea Pig,Skinny Pig,10.858988755271671,Overweight,Farm,Moderate,1,1,0.5921171922676172
Dog,Doberman,4.012512072792305,Normal,House,Moderate,1,1,0.04163087422941351
Cat,Sphynx,8.880966209935197,Normal,Outdoor,Moderate,0,1,0.3803911216727719
Bird,Mixed Species,6.873715625758267,Overweight,House,Active,2,0,0.5112512498620603
Cat,Maine Coon,15.781818579081886,Overweight,Apartment,Moderate,1,4,0.6969529058799995
Guinea Pig,Texel,9.593755511360872,Normal,Outdoor,Light,1,2,0.5423373845144834
Bird,Macaw,2.3671981916829266,Normal,Outdoor,Moderate,1,1,0.20863093074912384
Hamster,Syrian,1.4641059510517251,Normal,House,Active,0,1,0.2957653627222262
Bird,Cockatiel,1.3317346030348522,Normal,Outdoor,Moderate,0,0,0.01457430723378843
Hamster,Mixed Breed,7.201612302253328,Normal,House,Active,1,0,0.11185288842653453
Dog,Siberian Husky,14.92218643441268,Overweight,House,Sedentary,3,4,0.8066921206156593
Dog,Pit Bull,5.780525676416545,Overweight,House,Moderate,0,0,0.362124567182368
Rabbit,New Zealand White,5.770660267845222,Overweight,Apartment,Moderate,1,0,0.32078700414519745
Bird,Canary,6.419377676304042,Normal,Apartment,Active,1,1,0.13998367830193606
Bird,Conure,6.591956478842484,Normal,Outdoor,Active,1,1,0.17160810742590896
Rabbit,New Zealand White,2.64525256391499,Normal,House,Moderate,0,1,0.1179382801440176
Bird,Conure,4.939491918876376,Normal,House,Active,0,0,0.040863500909379354
Cat,Calico Mix,9.120816387140025,Normal,Farm,Light,2,2,0.5096907255385399
Bird,Conure,1.7027650179173617,Normal,Farm,Moderate,0,0,0.09147562498659706
Dog,Chihuahua,5.760900050443656,Normal,Outdoor,Light,0,0,0.567232214626393
Rabbit,Tan,17.09498843598321,Obese,Outdoor,Light,3,4,0.6966485614200252
Dog,Terrier Mix,7.556505953825752,Overweight,House,Moderate,0,2,0.4516358976770277
Bird,Canary,1.8882903922301093,Normal,House,Active,1,1,0.12748928881027552
Dog,Terrier Mix,2.359798170245176,Normal,House,Moderate,0,0,0.18986176517753367
Rabbit,Angora,1.9777829066505155,Normal,Farm,Active,0,0,0.21606371021105555
Guinea Pig,Peruvian,2.5408527606809987,Normal,Farm,Active,1,1,0.14549745182425844
Hamster,Chinese,6.234228694150925,Normal,Apartment,Active,1,1,0.07709342797871616
Rabbit,Angora,14.166154208345755,Overweight,Farm,Moderate,5,3,0.8367763352257218
Dog,Bulldog,6.6183533605429545,Overweight,Outdoor,Moderate,1,2,0.500367268207911
Guinea Pig,Mixed Breed,5.789366544507195,Normal,Farm,Moderate,1,1,0.06538240352744466
Guinea Pig,Peruvian,1.2333643975568216,Normal,Apartment,Active,1,1,0.004669379969931398
Dog,Corgi,19.34103067098626,Obese,Outdoor,Moderate,2,3,0.6693396977826732
Hamster,Roborovski,1.7291061196276027,Normal,House,Active,1,0,0.2848693774739048
Dog,Mixed Breed,9.470245099429945,Normal,Outdoor,Moderate,1,0,0.32047695336420173
Rabbit,English Spot,10.787959093681017,Normal,Apartment,Active,2,1,0.5233573572185592
Cat,Calico Mix,14.31348908777947,Obese,House,Light,4,1,0.9541218649204477
Hamster,Chinese,10.327926726702902,Normal,Farm,Active,0,1,0.5339458217932952
Dog,Chihuahua,9.336072666763265,Overweight,House,Active,3,0,0.3468407465912152
Hamster,Roborovski,5.959654674042122,Normal,House,Moderate,0,0,0.4275669155761771
Bird,Mynah,9.538579088706738,Normal,House,Moderate,0,1,0.5686612124435529
Rabbit,Rex,17.196214225712986,Overweight,House,Sedentary,1,1,0.6683851031398287
Cat,Tabby Mix,8.559991971665363,Normal,Outdoor,Moderate,0,2,0.34578357011284283
Cat,Birman,7.736400804071647,Normal,Outdoor,Moderate,0,1,0.021854721941388554
Guinea Pig,American,6.67658533399121,Normal,Farm,Moderate,1,0,0.00013501233868665752
Dog,Mixed Breed,19.492771545718867,Overweight,Outdoor,Sedentary,1,2,0.6077798290216784
Guinea Pig,Baldwin,2.3600481674953904,Normal,Farm,Active,0,0,0.05344413394543544
Guinea Pig,Abyssinian,2.5770772281306487,Normal,Apartment,Moderate,1,1,0.23292682139931695
Guinea Pig,Peruvian,11.33075783026884,Obese,House,Moderate,4,4,0.8645032498425889
Cat,Manx,11.84959705118633,Overweight,Apartment,Moderate,3,1,0.533913146431998
Cat,Bengal,15.048803186945285,Overweight,House,Sedentary,2,3,0.8628564699249549
Cat,Black Cat,3.771624762217679,Normal,Apartment,Active,0,1,0.02327110909885376
Bird,Parrot,2.259191371879077,Normal,House,Moderate,0,0,0.2482315285044433
Cat,Scottish Fold,7.890846883721599,Normal,Apartment,Light,3,2,0.3342469244081236
Rabbit,Tan,18.46389823482786,Obese,Outdoor,Light,1,4,0.789545235362066
Cat,American Shorthair,16.983871726489994,Overweight,House,Sedentary,5,1,0.7072093130946694
Rabbit,Angora,14.567153313746507,Overweight,Outdoor,Moderate,1,3,0.7696224525885947
Guinea Pig,Mixed Breed,8.732761616626524,Overweight,Apartment,Light,1,1,0.3731608783191367
Guinea Pig,American,6.351435030137472,Overweight,Outdoor,Active,1,1,0.489320634649146
Hamster,Mixed Breed,3.064800488343226,Normal,House,Active,0,1,0.018681018877297773
Rabbit,Holland Lop,16.737132382208173,Overweight,Outdoor,Moderate,5,3,0.7444872019623223
Bird,Finch,19.452922969955548,Overweight,House,Light,3,3,0.659053844574184
Bird,Conure,2.663054052401608,Normal,Farm,Moderate,1,1,0.19114324274365885
Cat,British Shorthair,5.029077081623928,Normal,Farm,Moderate,1,1,0.03363030556384755
Hamster,Roborovski,2.975735141872807,Normal,Farm,Moderate,0,1,0.22450168414071356
Bird,Canary,14.760897970998727,Overweight,Farm,Moderate,2,2,0.7815649489028331
Bird,Canary,5.296595415588125,Overweight,Outdoor,Moderate,0,1,0.5210551780847263
Cat,Bengal,2.8074020288078696,Normal,Apartment,Active,0,0,0.26291205152624114
Rabbit,Mixed Breed,4.410655570635406,Normal,Apartment,Active,1,0,0.07237847757230667
Bird,Finch,6.1273295981342155,Normal,Outdoor,Active,0,1,0.05314840039333182
Cat,Manx,9.166994045783355,Overweight,Farm,Moderate,0,1,0.5162231981146618
Dog,Rottweiler,16.61970469592,Overweight,Outdoor,Moderate,1,2,0.9984342883366057
Bird,Cockatiel,10.647718553505456,Normal,Farm,Light,0,2,0.44452631788440383
Cat,Mixed Breed,1.4792943833830867,Normal,Apartment,Active,1,1,0.026926633605767723
Dog,Siberian Husky,6.0472100868643075,Normal,Outdoor,Moderate,1,0,0.08328057849297811
Cat,Devon Rex,9.443263084890987,Overweight,House,Light,0,2,0.4755633947788648
Hamster,Dwarf Campbell,7.294416259162523,Normal,Farm,Light,0,0,0.4447236320171264
Hamster,Syrian,9.433014903977638,Overweight,House,Moderate,2,1,0.46542085909364583
Rabbit,Tan,5.236386911360297,Normal,House,Active,1,1,0.1056244526700785
Bird,Mynah,4.533854156315802,Normal,Farm,Active,1,1,0.24481307288266183
Guinea Pig,Texel,6.360511086895949,Normal,House,Light,0,1,0.3227939994239197
Cat,Devon Rex,14.013099630368949,Overweight,House,Sedentary,2,1,0.6521833798856999
Dog,Boxer,5.715906985712128,Normal,House,Light,1,1,0.5225449389350866
Cat,Russian Blue,18.960950166335167,Obese,Outdoor,Sedentary,1,3,0.9985015754589508
Hamster,Chinese,11.344785329384298,Overweight,Farm,Sedentary,5,3,0.8351219778319661
Rabbit,New Zealand White,7.652964598660614,Normal,Apartment,Active,1,2,0.5001724391537281
Cat,Manx,2.279989897821502,Normal,Apartment,Active,0,0,0.043406061983783224
Hamster,Dwarf Campbell,4.760819127596696,Normal,House,Active,1,1,0.11864641777745372
Bird,Parakeet,10.983607380415384,Overweight,Farm,Sedentary,4,1,0.9386166130067273
Guinea Pig,Texel,13.90162084556371,Obese,House,Moderate,5,3,0.763946848726552
Rabbit,Mixed Breed,7.968596301468867,Normal,Apartment,Moderate,1,1,0.13108009546054644
Hamster,Dwarf Campbell,7.664389340927031,Normal,Apartment,Moderate,1,1,0.5130353732927079
Rabbit,Mini Lop,6.987584780908726,Normal,House,Moderate,0,0,0.40590113132145766
Bird,Mynah,3.159529946717842,Normal,House,Moderate,0,1,0.11080627110166648
Bird,Parrot,12.516379732345944,Obese,House,Sedentary,5,2,0.9306027911503846
Hamster,Chinese,2.971340940920132,Normal,Apartment,Moderate,0,1,0.1465452589608351
Bird,Conure,14.448626169913622,Obese,Outdoor,Light,1,2,0.9953651688335164
Cat,Persian,6.436887994640132,Normal,Outdoor,Moderate,1,0,0.33212882414943196
Guinea Pig,Peruvian,5.047453680772328,Normal,Outdoor,Moderate,3,1,0.4708007873379826
Bird,Lovebird,9.882894018430417,Overweight,House,Active,0,0,0.5989835874977207
Dog,Pit Bull,14.520276444417128,Obese,Farm,Sedentary,3,1,0.6963493744024744
Hamster,Dwarf Campbell,6.4285663859908935,Overweight,Apartment,Light,2,0,0.4507497519078626
Cat,Mixed Breed,17.39176998905073,Obese,Apartment,Light,1,2,0.8390215843886308
Hamster,Roborovski,5.684226451794876,Overweight,House,Light,0,0,0.5737888085373891
