owner_experience,vet_access,owner_commitment,care_capability_score
expert,regular,obsessive,79.75747370844284
novice,regular,obsessive,66.1964330493975
expert,regular,obsessive,71.9079673416011
novice,regular,obsessive,58.00694194486223
novice,regular,obsessive,71.30137502519456
expert,regular,obsessive,79.05479007695074
experienced,regular,obsessive,76.21939404367285
experienced,regular,obsessive,89.22786566237848
novice,regular,obsessive,45.24466832403583
expert,regular,obsessive,78.59842708635448
experienced,regular,obsessive,72.51146490795384
experienced,regular,casual,65.81870087174224
expert,regular,obsessive,82.61254845255692
expert,regular,obsessive,73.18299632636104
novice,regular,obsessive,53.96985494991354
experienced,regular,obsessive,72.64893617456181
experienced,limited,obsessive,58.34405156517951
experienced,regular,obsessive,59.44117363884534
expert,unknown,obsessive,84.26119744720346
experienced,regular,obsessive,75.21545949527663
novice,regular,obsessive,76.42498098580396
expert,regular,obsessive,96.74310657618578
novice,regular,obsessive,66.43173951018758
novice,regular,casual,54.55487736852084
experienced,limited,obsessive,56.01121651336632
novice,regular,obsessive,71.1110209932731
experienced,regular,obsessive,91.76124153184304
experienced,limited,obsessive,53.9083956073141
expert,regular,obsessive,80.90234492023166
experienced,regular,obsessive,80.51104393695866
expert,regular,obsessive,73.08110272370719
novice,regular,casual,55.6082758595992
expert,regular,obsessive,71.9422687330252
novice,regular,obsessive,57.47496888172074
experienced,regular,casual,46.771925922781776
novice,regular,obsessive,66.56725289134738
experienced,regular,obsessive,83.77547036931348
experienced,regular,obsessive,72.29129928498789
expert,regular,obsessive,82.13643513753277
expert,regular,casual,62.55434614748684
novice,regular,obsessive,58.08772479604377
expert,regular,obsessive,77.89896037587704
expert,limited,obsessive,71.69524052346442
novice,regular,obsessive,55.22243788218762
novice,regular,obsessive,66.41508454839874
novice,limited,obsessive,51.356826076836526
novice,regular,obsessive,61.92127166807936
experienced,regular,obsessive,79.37071550385667
expert,regular,casual,75.71149120974161
experienced,regular,obsessive,86.73163913536227
novice,regular,obsessive,85.50691563899359
novice,regular,obsessive,60.29558871037415
experienced,regular,casual,58.112606760322855
expert,regular,casual,90.98921269160287
experienced,regular,obsessive,74.07189564256528
novice,regular,obsessive,82.18207155832009
experienced,regular,obsessive,79.27255577830535
experienced,regular,obsessive,84.33396281796564
experienced,regular,obsessive,77.10156823223546
experienced,regular,obsessive,65.92448796399727
expert,regular,obsessive,89.39886331704531
expert,regular,obsessive,79.125852369082
experienced,regular,obsessive,82.8519505273468
novice,limited,obsessive,44.53472832632837
experienced,limited,casual,31.3540003189928
experienced,regular,obsessive,71.14634246307878
experienced,regular,obsessive,59.19978588392588
novice,regular,obsessive,69.54054106735684
experienced,regular,obsessive,69.25660630419775
experienced,regular,obsessive,90.3501964384658
experienced,regular,obsessive,48.86222219359756
expert,regular,obsessive,58.33661314535314
experienced,regular,casual,61.904113370859584
novice,regular,obsessive,62.09786400313923
novice,regular,obsessive,60.99688557572791
novice,regular,obsessive,66.45823011424076
experienced,regular,obsessive,87.99519140095275
novice,regular,obsessive,60.56174813127692
experienced,regular,obsessive,75.01427267706036
experienced,regular,obsessive,59.20146899648337
unknown,limited,casual,45.89005353406159
novice,regular,obsessive,51.30740496022682
expert,regular,casual,75.59817472403843
experienced,regular,casual,68.00826561587613
experienced,limited,obsessive,48.25318828348589
novice,regular,obsessive,80.85842634671435
expert,regular,obsessive,86.01264394279676
experienced,regular,obsessive,48.85900710712615
expert,regular,obsessive,76.20860026613671
novice,regular,obsessive,62.12765144920763
expert,regular,obsessive,91.86016321204406
experienced,regular,obsessive,74.46148541188826
novice,regular,obsessive,56.63593445556512
experienced,regular,obsessive,76.02976340357674
experienced,regular,obsessive,79.49149365412082
novice,regular,obsessive,77.60036294034956
novice,regular,obsessive,56.84255991250174
expert,regular,casual,71.67406272737443
experienced,regular,obsessive,51.79973355099915
novice,regular,obsessive,60.61666758388186
experienced,regular,obsessive,79.76188480780512
experienced,regular,obsessive,81.43980951384198
experienced,regular,obsessive,77.18655136374362
experienced,regular,obsessive,81.9712111490067
experienced,regular,obsessive,71.15504045269893
experienced,regular,obsessive,62.59154240235592
expert,regular,obsessive,82.90172601157528
expert,regular,obsessive,91.40905215516618
experienced,regular,casual,58.899732874758726
experienced,regular,obsessive,75.90428458809949
experienced,regular,obsessive,83.35297398517403
novice,regular,obsessive,74.81661447649999
expert,regular,casual,62.91587646528896
experienced,regular,casual,65.5270665905994
experienced,regular,obsessive,66.1419702973073
expert,regular,obsessive,97.02490436015717
expert,regular,obsessive,100.0
novice,regular,obsessive,62.55749310524258
experienced,regular,casual,70.17870916056184
experienced,regular,obsessive,71.83127414879395
novice,regular,obsessive,72.62738448111718
expert,regular,obsessive,78.49338038684922
novice,regular,obsessive,62.32009746323057
experienced,regular,obsessive,63.04392915478717
expert,regular,obsessive,73.06515522327072
expert,regular,obsessive,100.0
expert,regular,obsessive,100.0
expert,regular,obsessive,74.20813297882617
experienced,regular,casual,76.64151575957949
novice,regular,obsessive,69.15434705356542
expert,unknown,obsessive,84.73415834566056
experienced,regular,obsessive,61.095899846624846
experienced,regular,obsessive,75.35890496886701
experienced,regular,obsessive,57.2823441250175
experienced,regular,obsessive,53.5543211094354
novice,regular,obsessive,72.46637342679342
novice,regular,obsessive,58.26677190737434
experienced,regular,obsessive,59.24011077655017
novice,regular,casual,66.11262311692825
expert,regular,obsessive,96.3874621839483
novice,regular,obsessive,81.09920584574294
expert,regular,obsessive,80.87740172190337
expert,regular,obsessive,95.90991020226514
novice,regular,casual,38.77255238135708
expert,regular,obsessive,100.0
expert,regular,obsessive,100.0
novice,limited,obsessive,47.16901977321285
experienced,regular,casual,56.643891192547805
expert,regular,obsessive,98.47137012037808
experienced,regular,obsessive,73.70305844788476
novice,regular,obsessive,62.75907239637117
expert,regular,obsessive,74.17600191905372
expert,regular,obsessive,81.40628741303568
novice,regular,obsessive,67.48525343083568
expert,regular,obsessive,97.63950463054933
expert,limited,casual,50.68092513861168
experienced,regular,obsessive,74.63143002042914
novice,regular,obsessive,61.08077997520858
unknown,regular,obsessive,47.89844876557273
novice,regular,obsessive,55.16656788674955
expert,limited,obsessive,100.0
experienced,regular,obsessive,66.80886772329242
experienced,regular,casual,65.43134259238006
novice,regular,obsessive,91.87152672808936
novice,regular,obsessive,58.33421980464047
novice,regular,obsessive,58.75489326844289
experienced,regular,obsessive,62.07024700400656
experienced,regular,obsessive,71.26769115321062
expert,limited,casual,55.02808077946972
novice,regular,obsessive,70.53037395528634
novice,regular,obsessive,69.70948646358745
experienced,regular,casual,55.367660132462106
novice,regular,obsessive,39.42942282564773
novice,regular,casual,42.88423281989632
novice,regular,obsessive,59.53492627101961
expert,regular,obsessive,75.64656524556378
experienced,regular,obsessive,67.14366724216573
expert,regular,obsessive,91.86975491084992
experienced,regular,obsessive,100.0
expert,unknown,obsessive,98.197585999741
experienced,regular,obsessive,66.08904121921398
experienced,regular,obsessive,81.37427556040493
experienced,limited,obsessive,56.97188169294304
expert,regular,obsessive,91.5224000025929
expert,regular,casual,94.16027641822578
experienced,unknown,obsessive,77.01055442402826
novice,regular,obsessive,51.50615465349711
expert,limited,obsessive,63.50032309422843
experienced,regular,casual,80.85471871191689
experienced,limited,obsessive,62.932724870585886
expert,regular,obsessive,90.93571869600748
expert,regular,obsessive,95.32343425837108
experienced,regular,obsessive,85.86452025166614
experienced,regular,obsessive,69.96615559963416
novice,regular,casual,59.10023358086276
novice,regular,obsessive,68.40602041602014
novice,regular,obsessive,58.03540250650101
expert,regular,obsessive,80.37815724301637
expert,limited,obsessive,75.34607608164676
novice,regular,obsessive,74.83419702126959
novice,regular,obsessive,63.85746608015027
experienced,regular,obsessive,75.02305240113618
experienced,regular,obsessive,65.66304117322
expert,regular,obsessive,61.42372987678426
