pet_species,breed,age_years,weight_status,living_situation,exercise_level,conditions_count,allergies_count,health_risk_score
dog,Dachshund,10.624413777090126,overweight,house,moderate,0,0,0.503722921337835
dog,German Shepherd,7.841455767968844,normal,house,moderate,0,0,0.2195707350737563
dog,Dachshund,11.938862056264837,overweight,house,moderate,0,0,0.5172213464950913
dog,Golden Retriever,9.426373865420109,normal,apartment,moderate,0,0,0.319675390368892
dog,Beagle,13.963830311245612,obese,house,moderate,0,0,0.8417574135266757
dog,Labrador Retriever,11.4553069867826,normal,house,light,0,0,0.5001260165031205
dog,Golden Retriever,6.064611782639863,normal,apartment,very active,0,0,0.2723284711107884
dog,Golden Retriever,10.217617670595429,normal,house,very active,0,0,0.2804317653746392
dog,Chihuahua,13.736857164997051,normal,house,very active,0,0,0.2983094277225246
dog,German Shepherd,7.104182198704395,obese,apartment,very active,0,0,0.5286768958716193
dog,Dachshund,14.857057036287552,normal,house,moderate,0,0,0.4572957833406929
dog,Bulldog,5.258119253557026,normal,house,moderate,0,0,0.1505782599575187
dog,Mixed Breed,13.033793043424174,overweight,house,moderate,0,0,0.4122067155537671
dog,Golden Retriever,9.286276747534174,overweight,house,very active,0,0,0.5209489324583595
dog,German Shepherd,11.623368480802164,normal,house,moderate,0,0,0.4384758225371793
dog,Dachshund,13.349023003959164,obese,house,very active,0,0,0.4971168090894288
dog,Labrador Retriever,5.54187234458619,overweight,house,very active,0,0,0.3413866900591625
dog,Golden Retriever,10.53523436032551,overweight,house,moderate,0,0,0.3610455849095512
dog,Dachshund,12.170878127759572,normal,house,moderate,0,1,0.3906648561094668
dog,Poodle,15.900950352832195,normal,house,light,0,0,0.5102840800056865
dog,Labrador Retriever,6.730214250826562,normal,apartment,moderate,0,0,0.0753563210503421
dog,Chihuahua,10.847790114162386,obese,house,moderate,0,0,0.6403847580476298
dog,Bulldog,9.747730954649972,normal,unknown,moderate,0,0,0.3429463497898799
dog,Beagle,12.860170328505056,overweight,house,moderate,0,0,0.5813020100009038
dog,German Shepherd,9.275748946583551,normal,house,moderate,0,0,0.2511129480636778
dog,Dachshund,10.98021161807176,unknown,house,moderate,0,0,0.4905340768392325
dog,Golden Retriever,7.866850144905058,normal,house,moderate,0,0,0.2561945590816935
dog,Golden Retriever,9.227268727007695,normal,apartment,moderate,0,0,0.3488504186502546
dog,Golden Retriever,9.952459480243276,underweight,house,light,0,0,0.4188468404338408
dog,Beagle,5.589145046348266,overweight,outdoor,moderate,0,0,0.6032009715904719
