owner_experience,vet_access,owner_commitment,care_capability_score
Advanced,Good,Moderate,79.75747370844284
Novice,Regular,Very High,66.1964330493975
Advanced,Good,Moderate,71.9079673416011
Novice,Excellent,Moderate,58.00694194486223
Novice,Good,Very High,71.30137502519456
Advanced,Excellent,Moderate,79.05479007695074
Intermediate,Good,High,76.21939404367285
Intermediate,Excellent,High,89.22786566237848
Novice,Regular,Moderate,45.24466832403583
Advanced,Excellent,High,78.59842708635448
Intermediate,Regular,Very High,72.51146490795384
Intermediate,Excellent,Low,65.81870087174224
Advanced,Regular,Very High,82.61254845255692
Advanced,Regular,High,73.18299632636104
Novice,Excellent,High,53.96985494991354
Intermediate,Good,High,72.64893617456181
Intermediate,LIMITED,High,58.344051565179505
Intermediate,Good,Moderate,59.44117363884534
Advanced,Unknown,Moderate,84.26119744720346
Intermediate,Good,Moderate,75.21545949527663
Novice,Good,High,76.42498098580396
Advanced,Good,High,96.74310657618578
Novice,Good,High,66.43173951018758
Novice,Regular,Low,54.554877368520835
Intermediate,Limited,Very High,56.011216513366314
Novice,Excellent,High,71.1110209932731
Intermediate,Good,Very High,91.76124153184305
Intermediate,Limited,High,53.9083956073141
Advanced,Excellent,Moderate,80.90234492023166
Intermediate,Good,Very High,80.51104393695866
Advanced,Regular,Moderate,73.08110272370719
Novice,Good,Low,55.608275859599196
Advanced,Excellent,Moderate,71.9422687330252
Novice,Good,High,57.47496888172074
Intermediate,Excellent,Low,46.771925922781776
Novice,Excellent,Moderate,66.56725289134738
Intermediate,Excellent,High,83.77547036931348
Intermediate,Good,Moderate,72.29129928498789
Advanced,Good,High,82.13643513753277
Advanced,Regular,Low,62.55434614748684
Novice,Excellent,Moderate,58.08772479604377
Advanced,Good,High,77.89896037587704
Expert,Limited,Moderate,71.69524052346442
Novice,Regular,Very High,55.22243788218762
Novice,Good,Moderate,66.41508454839874
Novice,Limited,High,51.356826076836526
Novice,Excellent,Moderate,61.921271668079356
Intermediate,Regular,High,79.37071550385667
Expert,Regular,Low,75.71149120974161
Intermediate,Excellent,Very High,86.73163913536227
Novice,Excellent,High,85.50691563899359
Novice,Good,Moderate,60.29558871037415
Intermediate,Good,Low,58.112606760322855
Expert,Regular,Low,90.98921269160287
Intermediate,Excellent,High,74.07189564256528
Novice,Regular,High,82.18207155832009
Intermediate,Excellent,High,79.27255577830535
Intermediate,Good,High,84.33396281796564
Intermediate,Excellent,Moderate,77.10156823223546
Intermediate,Regular,Moderate,65.92448796399727
Expert,Regular,High,89.39886331704531
Advanced,Good,High,79.125852369082
Intermediate,Excellent,Moderate,82.8519505273468
Novice,Limited,High,44.53472832632837
Intermediate,Limited,Low,31.3540003189928
Intermediate,Excellent,Moderate,71.14634246307878
Intermediate,Good,Moderate,59.19978588392588
Novice,Good,Very High,69.54054106735684
Intermediate,Excellent,Moderate,69.25660630419775
Intermediate,Good,High,90.3501964384658
Intermediate,Good,Moderate,48.86222219359756
Advanced,Good,Moderate,58.33661314535314
Intermediate,Regular,Low,61.904113370859584
Novice,Excellent,Moderate,62.09786400313923
Novice,Excellent,Moderate,60.99688557572791
Novice,Regular,High,66.45823011424076
Intermediate,Excellent,Moderate,87.99519140095275
Novice,Good,High,60.56174813127692
Intermediate,Good,High,75.01427267706036
Intermediate,Regular,Moderate,59.20146899648337
Unknown,Limited,Low,45.890053534061586
Novice,Excellent,High,51.30740496022682
Advanced,Regular,Low,75.59817472403843
Intermediate,Excellent,Low,68.00826561587613
Intermediate,Limited,Moderate,48.25318828348589
novice,Excellent,Moderate,80.85842634671435
Expert,Regular,Moderate,86.01264394279676
Intermediate,Good,Moderate,48.859007107126146
Advanced,Regular,High,76.20860026613671
Novice,Good,High,62.12765144920763
Expert,Good,Moderate,91.86016321204406
Intermediate,Excellent,High,74.46148541188826
Novice,Regular,Very High,56.63593445556512
Intermediate,Good,Moderate,76.02976340357674
Intermediate,Good,Very High,79.49149365412082
Novice,Excellent,High,77.60036294034956
Novice,Good,High,56.84255991250174
Advanced,Good,Low,71.67406272737443
Intermediate,Good,Moderate,51.79973355099915
Novice,Good,High,60.61666758388186
Intermediate,Good,Very High,79.76188480780512
Intermediate,Good,High,81.43980951384198
Intermediate,Good,High,77.18655136374362
Intermediate,Excellent,High,81.9712111490067
Intermediate,Regular,High,71.15504045269893
Intermediate,Regular,Moderate,62.59154240235592
Advanced,Good,Moderate,82.90172601157528
Expert,Good,High,91.40905215516618
Intermediate,Good,Low,58.899732874758726
Intermediate,Good,High,75.90428458809949
Intermediate,Good,Very High,83.35297398517403
Novice,Excellent,High,74.81661447649999
Advanced,Good,Low,62.91587646528896
Intermediate,Regular,Low,65.5270665905994
Intermediate,Good,Moderate,66.1419702973073
Expert,Good,High,97.02490436015715
Expert,Excellent,Very High,100.0
Novice,Good,High,62.55749310524258
Intermediate,Good,Low,70.17870916056184
Intermediate,Good,Moderate,71.83127414879395
Novice,Excellent,High,72.62738448111718
Advanced,Good,High,78.49338038684922
Novice,Regular,High,62.32009746323057
Intermediate,Good,Moderate,63.04392915478717
Advanced,Good,Moderate,73.06515522327072
Expert,Excellent,Moderate,100.0
Expert,Excellent,High,100.0
Advanced,Good,High,74.20813297882617
Intermediate,Good,Low,76.64151575957949
Novice,Good,High,69.15434705356542
Expert,Unknown,High,84.73415834566056
Intermediate,Good,Moderate,61.095899846624846
Intermediate,Good,Very High,75.35890496886701
Intermediate,Good,Moderate,57.2823441250175
Intermediate,Excellent,Moderate,53.5543211094354
Novice,Excellent,High,72.46637342679342
Novice,Regular,High,58.26677190737434
Intermediate,Regular,Moderate,59.24011077655017
Novice,Good,Low,66.11262311692825
Expert,Excellent,Very High,96.3874621839483
Novice,Excellent,Very High,81.09920584574294
Advanced,Good,High,80.87740172190337
Advanced,Good,Very High,95.90991020226514
Novice,Regular,Low,38.77255238135708
Expert,Good,High,100.0
Expert,Good,Moderate,100.0
Novice,Limited,High,47.16901977321285
Intermediate,Good,Low,56.643891192547805
Expert,Regular,High,98.47137012037807
Intermediate,Good,High,73.70305844788476
Novice,Good,Moderate,62.75907239637117
Advanced,Regular,High,74.17600191905372
Advanced,Good,Moderate,81.40628741303568
Novice,Good,Very High,67.48525343083568
Expert,Good,High,97.63950463054931
Advanced,Limited,Low,50.68092513861168
Intermediate,Excellent,Moderate,74.63143002042914
Novice,Regular,High,61.08077997520858
Unknown,Regular,Moderate,47.89844876557273
Novice,Regular,Moderate,55.16656788674955
EXPERT,Limited,Very High,100.0
Intermediate,Regular,High,66.80886772329242
Intermediate,Good,Low,65.43134259238006
Novice,Excellent,Very High,91.87152672808935
Novice,Excellent,MODERATE,58.33421980464047
Novice,Excellent,Moderate,58.75489326844289
Intermediate,Good,Moderate,62.07024700400656
Intermediate,Good,Moderate,71.26769115321062
Advanced,Limited,Low,55.02808077946972
Novice,Excellent,Moderate,70.53037395528634
Novice,Regular,Moderate,69.70948646358745
Intermediate,Good,Low,55.367660132462106
Novice,Good,Moderate,39.429422825647734
Novice,Regular,Low,42.88423281989632
Novice,Regular,Moderate,59.53492627101961
Advanced,Good,High,75.64656524556378
Intermediate,Good,Moderate,67.14366724216573
Advanced,Excellent,Moderate,91.86975491084993
Intermediate,Good,Very High,100.0
Advanced,Unknown,High,98.19758599974101
Intermediate,Good,Moderate,66.08904121921398
Intermediate,Excellent,Moderate,81.37427556040493
Intermediate,Limited,Moderate,56.971881692943036
